feature,shap_importance
Q44,1.1043081
Q40_1,0.62551486
Q15,0.5117056
Q33,0.3977581
Q23,0.34635472
Q32,0.2654114
Q7,0.2053155
Q36,0.13767138
Q19,0.12875544
Q10_2,0.114856884
Q_40_3,0.08562917
Q40_2,0.06408184
Q8,0.05161163
Q6,0.0384004
Q5,0.02805635
Q10_1,0.02479129
Q3,0.01808714
Q34,0.016744314
Q18,0.015604376
Q14,0.010877791
Q9,0.0
Q35,0.0
Q31,0.0
Q16,0.0
Q1,0.0
Q30,0.0
Q29,0.0
Q28,0.0
Q27,0.0
Q26,0.0
Q1.1,0.0
Q24,0.0
Q22,0.0
Q21,0.0
Q20,0.0
Q11,0.0
Q10_3,0.0
Q4,0.0
Q25,0.0
