feature,weight
intercept,-0.7805122338953994
Q1,-0.08677191551593441
Q1.1,0.14233503461529978
Q3,0.34027645645104926
Q4,0.019808043635501992
Q10_1,0.2763230453221364
Q10_2,0.7325789425308543
Q10_3,0.003532769105976521
Q40_1,0.5351415669455565
Q40_2,0.11114100010159365
Q_40_3,-0.13250363035664878
Q44,-1.2519403601303545
Q11,-0.06771684902019316
Q18,-0.02273328533760857
Q19,0.0270622713733518
Q20,0.029633987087409348
Q21,-0.26302810448580405
Q22,0.2920403186622341
Q23,0.9766633474038696
Q24,-0.15308153500768729
Q25,0.3899287240435515
Q26,-0.5970442839121244
Q27,-0.12191829889767183
Q28,0.09485380995111044
Q29,-0.47931547287374965
Q30,0.5023853662917583
Q31,-0.2698608727818728
Q5,-0.15005200855273723
Q6,0.18355281135470966
Q7,0.7473404159105869
Q8,0.04948445127311274
Q9,0.16973030909205758
Q32,0.44490196287026684
Q36,0.11412734649116213
Q35,-0.07535043133080947
Q34,-0.03236917272334909
Q33,0.7429182910338236
Q15,0.6374405085760676
Q16,-0.3480900005135764
Q14,-0.13824982669715977
