feature,shap_importance
Q40_2,6.097388997680518
Q40_1,2.8369420415224917
Q19,0.3371470588235294
Q23,0.15784313725490193
Q16,0.1157983193277309
Q1,0.0
Q8,0.0
Q30,0.0
Q31,0.0
Q5,0.0
Q6,0.0
Q7,0.0
Q32,0.0
Q9,0.0
Q28,0.0
Q36,0.0
Q35,0.0
Q34,0.0
Q33,0.0
Q15,0.0
Q29,0.0
Q25,0.0
Q27,0.0
Q44,0.0
Q3,0.0
Q4,0.0
Q10_1,0.0
Q10_2,0.0
Q10_3,0.0
Q43,0.0
Q11,0.0
Q26,0.0
Q18,0.0
Q20,0.0
Q21,0.0
Q22,0.0
Q24,0.0
Q1.1,0.0
Q14,0.0
